,Job Title,Company Name,Location,Sector,City,State
229,"Senior Data Scientist, Treasury Product Manager","Bank of America
3.7","New York, NY",Finance,New York,New York
230,Data Scientist - Market and Sales Analytics,"Riskified
4.4","New York, NY",Business Services,New York,New York
231,Sr. Data Scientist,"Amazon
3.9","New York, NY",Information Technology,New York,New York
232,Data Scientist (Fintech),"ingenium.agency
5.0","Brooklyn, NY",Business Services,Brooklyn,New York
233,Data Scientist I Seller Development,"Amazon
3.9","New York, NY",Information Technology,New York,New York
234,"Applied Scientist, Machine Learning (BK or SF)","Etsy
3.6","Brooklyn, NY",Retail,Brooklyn,New York
235,Quantitative Researcher,"NJF Global Holdings
4.2","New York, NY",Business Services,New York,New York
236,AI Engineering: Data Scientist/Machine Learning Engineer,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Finance,Jersey City,New Jersey
237,Quantum Data Scientist (Industrial-Process sector),"IBM
3.7","New York, NY",Information Technology,New York,New York
238,Principal Data Scientist,"Caserta
4.3","New York, NY",Information Technology,New York,New York
239,Small Business Lending Data Scientist,"Credibly
3.5","New York, NY",Finance,New York,New York
240,"Data Scientist, Primary Research (Disney Streaming Services)","Walt Disney Co.
4.0","New York, NY",Media,New York,New York
241,"Machine Learning Engineer, Computer Vision","Samsung NEXT
3.0","New York, NY",Information Technology,New York,New York
242,Sr Data Scientist,"Healthfirst
3.1","New York, NY",Insurance,New York,New York
243,"Senior Data Analyst, Disney+","The Walt Disney Company
4.0","New York, NY",Media,New York,New York
244,Quantitative Researcher,"LaBine & Associates
5.0","New York, NY",Business Services,New York,New York
245,Data Analyst,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services",New York,New York
246,Marketing Data Analyst,"Current
3.6","New York, NY",-1,New York,New York
247,"Senior Data Scientist, Product Analytics","Slice
4.4","New York, NY",Information Technology,New York,New York
248,Data Science & Analytics Manager,Kinship,"New York, NY",Business Services,New York,New York
249,RWD Healthcare Data Scientist,"WCG
2.6","Florham Park, NJ",Business Services,Florham Park,New Jersey
250,Senior Data Scientist,"Humana
3.6","Jersey City, NJ",Insurance,Jersey City,New Jersey
251,Machine Learning Engineer,"The Trevor Project
4.6","New York, NY",Non-Profit,New York,New York
252,Engineering Team Lead - Data Science,"Datadog
4.1","New York, NY",Information Technology,New York,New York
253,Data Engineer,Pinto,"New York, NY",-1,New York,New York
254,Senior Data Scientist,"Huxley
3.3","New York, NY",Business Services,New York,New York
255,Research Scientist - Machine Learning,"Samsung Research America
3.5","New York, NY",Information Technology,New York,New York
256,Computer Vision Image Analytics Data Scientist,Wise Skulls,"New York, NY",-1,New York,New York
257,Data Engineer - Talent Pool,"Colgate-Palmolive
4.1","New York, NY",Manufacturing,New York,New York
258,Principal Data Scientist,"First Health Group
3.2","New York, NY",Insurance,New York,New York
259,Data Analyst,"Hearst Communications
4.0","New York, NY",Business Services,New York,New York
260,"Director of Engineering, Data","Better.com
4.0","New York, NY",Information Technology,New York,New York
261,Data Analyst Intern,"My Job Tank
3.6","Jersey City, NJ",Information Technology,Jersey City,New Jersey
262,Senior Data Scientist - Ads Analytics / Machine Learning,"Spotify
3.8","New York, NY",Information Technology,New York,New York
263,Data Engineer,"Point72
3.9","New York, NY",Finance,New York,New York
264,People Analytics Data Engineer,"D. E. Shaw & Co.
4.4","New York, NY",Finance,New York,New York
265,"Senior Data Modeler/Ontologist, Knowledge Base","Etsy
3.6","New York, NY",Retail,New York,New York
266,Machine Learning Engineer,"Amazon
3.9","New York, NY",Information Technology,New York,New York
267,Senior Data Scientist,"SpikeIT Global Solutions, Inc.","Newark, NJ",-1,Newark,New Jersey
268,Sr. Data Scientist,"Take-Two Interactive Software, Inc.
3.7","New York, NY",Media,New York,New York
269,Data Scientist - CloudOps,"Datadog
4.1","New York, NY",Information Technology,New York,New York
270,Data Scientist (Fintech),ingenium.agency,"New York, NY",-1,New York,New York
271,Business/Data Analyst (FP&A),"Two Sigma
4.4","New York, NY",Finance,New York,New York
272,Senior Data Scientist,"Komodo Health
3.7","New York, NY",Information Technology,New York,New York
273,Remote work - Data Scientist with background in Epidemiology,"nFolks Ltd
2.5","New York, NY",Business Services,New York,New York
274,Data Analyst,"Teachers Pay Teachers
4.9","New York, NY",Information Technology,New York,New York
275,Sr. Data Scientist,"TMP WORLDWIDE
3.6","New York, NY",Business Services,New York,New York
276,"Senior Data Scientist, Programmatic","DoubleVerify
3.6","New York, NY",Information Technology,New York,New York
277,Senior Data Scientist,"ERGO Group
3.3","New York, NY",Information Technology,New York,New York
278,Quantitative Research Analyst,"DBRS Morningstar
3.6","New York, NY",Finance,New York,New York
279,Quantitative Researcher Extern -- January,"Five Rings Capital
5.0","New York, NY",Finance,New York,New York
280,Senior Data Scientist - Central Product Insights,"Spotify
3.8","New York, NY",Information Technology,New York,New York
281,Data Analyst,"Medly Pharmacy
4.8","Brooklyn, NY",Health Care,Brooklyn,New York
282,Assistant Research Scientist,"NYU Langone Health
4.1","New York, NY",Health Care,New York,New York
283,Data Analyst,"Tachyon Technologies
4.4","New York, NY",Information Technology,New York,New York
284,Data Analyst - Intex Developer,"Macquarie Group
3.3","New York, NY",Finance,New York,New York
285,Machine Learning Engineer,"Bank of America
3.7","New York, NY",Finance,New York,New York
286,Information Systems Officer (Data Analyst),"United Nations
4.1","New York, NY",Government,New York,New York
287,Research Scientist - Neural Interfaces,"Facebook
4.5","New York, NY",Information Technology,New York,New York
288,"Strategic Data Scientist, Data & Technology",ConcertAI,"New York, NY",-1,New York,New York
289,Sr Data Scientist,"Hadiamondstar Software Solutions LLC
3.6","Jersey City, NJ",Information Technology,Jersey City,New Jersey
290,Sr. Principal Metrics Analyst- Data Scientist,"The Bank of New York Mellon
3.2","New York, NY",Finance,New York,New York
291,Senior Data Scientist,"Northwestern Mutual
3.8","New York, NY",Finance,New York,New York
292,Machine Learning Engineer,"Mitchell Martin
4.1","New York, NY",Business Services,New York,New York
293,Staff Data Infrastructure Engineer,"Ro
4.8","New York, NY",Health Care,New York,New York
294,Data Engineer,"FanDuel
3.9","New York, NY","Arts, Entertainment & Recreation",New York,New York
295,Data Engineer,"Nasdaq
3.6","New York, NY",Finance,New York,New York
296,Quantitative Researcher - Intern,"Point72
3.9","New York, NY",Finance,New York,New York
297,Data Analyst,Gainful Health,"New York, NY",Retail,New York,New York
298,People Research Scientist,"Two Sigma
4.4","New York, NY",Finance,New York,New York
299,Point72 Quantitative Researcher,"Point72
3.9","New York, NY",Finance,New York,New York
300,Data Analyst,"SoftStandard Solutions
4.8","New York, NY",-1,New York,New York
301,Senior Data Scientist - Algorithms,"Quartet Health
3.9","New York, NY",Information Technology,New York,New York
302,Senior Big Data Engineer & Data Scientist (Apps Systems Engineer 6),"Wells Fargo
3.6","Summit, NJ",Finance,Summit,New Jersey
303,Data Analyst,"Mulberry Technology
5.0","New York, NY",-1,New York,New York
304,eCommerce Analytics Manager,"Bombas
4.9","New York, NY",Retail,New York,New York
305,Data Analyst,Newspaper Administration,"New York, NY",-1,New York,New York
306,Permanent Job: People Analytics Data Scientist,"Bey
1.0","New York, NY",-1,New York,New York
307,Data Analyst,Hyde Leadership Brooklyn,"Brooklyn, NY",-1,Brooklyn,New York
308,Senior Data Scientist,"NPD
3.8","New York, NY",Business Services,New York,New York
309,"Data Analyst, Public Health Laboratory","City of New York
3.4","New York, NY",Government,New York,New York
